Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,2016-03-09,24,16,19,22,24,18,10,10,8,9,8,9,9,8,7,8,8,8,8,10,10,12,13,11
31103,Fine Particulate Matter,2016-03-10,12,14,14,15,17,16,22,19,18,10,5,5,5,4,5,9,9,11,9,8,7,9,8,7
31103,Fine Particulate Matter,2016-03-11,8,9,8,6,6,6,5,4,5,5,5,4,4,3,4,6,7,7,8,7,8,8,9,11
31103,Fine Particulate Matter,2016-03-12,12,12,12,12,12,12,12,13,13,14,12,11,9,6,5,4,3,4,6,4,4,4,5,6
31103,Fine Particulate Matter,2016-03-13,8,10,-999,-999,12,11,9,6,6,6,5,5,4,4,4,4,3,3,4,6,3,3,3,3
31103,Fine Particulate Matter,2016-03-14,3,4,4,4,4,4,5,5,5,6,4,3,5,5,4,4,4,6,8,9,8,10,10,6
31103,Fine Particulate Matter,2016-03-15,6,7,8,7,9,9,7,6,5,3,4,5,4,4,4,4,4,7,7,6,5,6,9,9
31103,Fine Particulate Matter,2016-03-16,9,8,6,5,5,5,5,6,6,6,7,10,5,4,3,2,2,2,3,3,5,3,4,5
31103,Fine Particulate Matter,2016-03-17,6,7,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,5,6,6,4,4,4
31103,Fine Particulate Matter,2016-03-18,4,3,3,4,3,3,4,3,3,3,3,4,4,3,3,2,2,3,3,3,3,3,2,3
31103,Fine Particulate Matter,2016-03-19,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,4,4,4,6,5,5,5
31103,Fine Particulate Matter,2016-03-20,4,3,3,4,4,4,4,4,4,5,4,4,4,3,4,4,4,5,5,6,6,5,5,6
31103,Fine Particulate Matter,2016-03-21,7,7,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,4,4,5,5,5
31103,Fine Particulate Matter,2016-03-22,4,5,5,5,5,7,9,9,8,10,10,11,15,12,10,9,10,11,12,12,14,15,17,17
31103,Fine Particulate Matter,2016-03-23,19,21,25,30,26,26,17,12,8,6,6,5,5,6,5,5,5,7,8,7,7,6,6,5
31103,Fine Particulate Matter,2016-03-24,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,6,6,5,6,6,6,6,5,4
31103,Fine Particulate Matter,2016-03-25,6,8,11,12,11,7,4,3,3,2,3,3,3,3,4,4,4,5,6,7,9,10,11,12
